Nombre,ID,Latitud,Longitud
Monumento a Juan Belmonte,1,37.385355,-6.003013
Edificio de la farmacia Murillo,2,37.385063,-6.003412
Monumento al Arte Flamenco,3,37.385355,-6.003013
Castillo de San Jorge. ,4,37.385742,-6.003049
Capilla del Carmen,5,37.385731,-6.003046
Puente de Triana,6,37.386235,-6.002445
Monumento ecuestre a María de las Mercedes,7,37.386588,-6.000525
La Casa de la Real Maestranza de Caballería,8,37.385863,-5.99927
Monumento a Curro Romero.,9,37.385633,-5.999173
La Real Plaza de Toros,10,37.385956,-5.998411
Monumento a Pepe Luis Vázquez,11,37.384325,-5.998665
Teatro de la Maestranza,12,37.383881,-5.997075
Torre del Oro ,13,37.382394,-5.99649
Puerta Jerez,14,37.382206,-5.992473
Casablanca,15,37.383722,-5.9941
Barbiana,16,37.389427,-5.995302
La Alicantina ,17,37.390243,-5.99299
Freiduría El Arenal ,18,37.385098,-5.997066
Taberna Chani ,19,37.378306,-5.973529
Reserva Natural Cañada de los Pájaros,20,37.239632,-6.13083
Reserva Natural Castillo de las Guardas,21,37.693256,-6.315356
Zoo de Sevilla,22,37.566189,-6.079895
Acuario de Sevilla ,23,37.370565,-5.991229
Centro Andaluz de la Fauna Salvaje,24,37.778101,-5.994343
Antigüedades El Museo,25,37.392712,-5.999268
Numismatica Pliego,26,37.389693,-5.993274
Bastilippo Antigüedades,27,37.391386,-5.993245
Casa Ricardo,28,37.397533,-5.996042
Casa Paco ,29,37.388972,-5.971094
Barbiana,30,37.389427,-5.995302
La Alicantina ,31,37.390243,-5.99299
La Primera del Puente ,32,37.381353,-5.997799
La Reja ,33,37.392624,-5.994923
Génova ,34,37.389173,-5.997262
El Candil Triana ,35,37.379286,-6.001041
Bodega Santa Cruz (Las Columnas),36,37.386023,-5.990772
Restaurante La Infanta ,37,37.385632,-5.995508
Asador Salas ,38,37.38832,-5.999788
Taberna Berrocal,39,37.389914,-5.99761
Calle Dueñas,40,37.394758,-5.989507
Calle Bustos Tavera,41,37.394955,-5.988074
Calle Siete Revueltas,42,37.390858,-5.991881
Plaza de la Encarnación,43,37.39331,-5.992348
Mercado de abastos de la Encarnación,44,37.393327,-5.991921
El Antiquarium,45,37.393183,-5.991754
Calle Feria,46,37.399184,-5.991821
Calle San Luis,47,37.399677,-5.988524
Iglesia de San Marcos,48,37.396272,-5.987684
Convento de Santa Isabel,49,37.396457,-5.987065
Hiniesta-Lira-Duque Cornejo,50,37.398783,-5.985634
Iglesia de San Julián,51,37.398793,-5.985503
Basílica de la Macarena ,52,37.403406,-5.994248
Iglesia de San Hermenegildo,53,37.400352,-5.985134
Hospital de las Cinco Llagas,54,37.40459,-5.987573
Iglesia Colegial del Divino Salvador,55,37.389987,-5.992755
Calle Doña María Coronel,56,37.393513,-5.988706
Calle Regina,57,37.394705,-5.991543
Murallas de Sevilla,58,37.403407,-5.994248
Monte Gurugú,59,37.374165,-5.988511
Isleta de los Pájaros,60,37.374871,-5.98833
La Plaza de España,61,37.377196,-5.986893
El Costurero de la Reina ,62,37.375868,-5.990486
Pabellón de Estados Unidos,63,37.376331,-5.991999
La Universidad de Sevilla,64,37.380758,-5.991231
Palacio de San Telmo,65,37.38031,-5.993906
Torre del Oro,66,37.382413,-5.99649
Museo de Carruajes,67,37.379474,-5.996854
Iglesia de Santa Ana ,68,37.382869,-6.000359
Casa de las Columnas ,69,37.384123,-6.004387
Capilla de los marineros ,70,37.383993,-6.001271
Plaza de América ,71,37.371049,-5.987187
Glorieta de Becquer,72,37.377787,-5.990336
Teatro Lope de Vega ,73,37.378333,-5.990692
Plaza Santa Cruz,74,37.385201,-5.988453
Plaza de Doña Elvira,75,37.384853,-5.990542
Callejón del Agua,76,37.384429,-5.989609
Jardines de Murillo,77,37.382656,-5.988665
Plaza de los Refinadores,78,37.385452,-5.987602
Patio de Banderas,79,37.384898,-5.991325
Centro de Interpretación de la Judería,80,37.386168,-5.989029
Marieta,81,37.393599,-5.993776
Francisco Carrera Iglesias,82,37.389233,-5.991299
Mundo Cofrade,83,37.394699,-5.995888
Casa Rodriguez,84,37.388381,-5.992758
Sevilla Imaginera,85,37.393539,-5.987999
Antigua Casa Rodríguez,86,37.390356,-5.991637
Dado Hobby - La Casa del Belenista,87,37.393666,-5.993411
La Casa Del Nazareno,88,37.393909,-5.985353
Al Siglo Sevillano,89,37.388714,-5.993242
Juncia y Romero,90,37.388581,-5.992994
Gonzalo Reina,91,37.39189,-5.987882
Casa Ruperto,92,37.381784,-6.008503
El Rey de los Caracoles ,93,37.388814,-5.999231
Bar G. Hijón ,94,37.400051,-5.985042
Bar Rodríguez,95,37.397789,-5.998517
Bar Rosita ,96,37.375748,-5.975132
Casablanca,97,37.383722,-5.9941
Las Teresas,98,37.385886,-5.989202
Jardines de Cristina,99,37.381456,-5.994233
El Palacio de San Telmo,100,37.381088,-5.993672