lon,lat,FID,NOMBRE,same_as,DIRECCION,TELEFONO,WEB,Foto
-5.987133,37.370965,1,Museo Arqueol칩gico,https://wikidata.org/entity/Q9046766,"Plaza de America, s/n",954786465,http://www.museosdeandalucia.es/culturaydeporte/museos/MASE/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo Arqueologico.jpg
-5.987839,37.372076,2,Museum of Arts and Traditions of Sevilla,https://wikidata.org/entity/Q6940778,"Plaza de Amtrica, 3 - Pabellon Mudejar, Parque de Maria Luisa",954712391,http://www.museosdeandalucia.es/culturaydeporte/museos/MACSE/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de las Artes y Costumbres Populares.jpg
-5.988946,37.385693,3,Casa de Murillo,https://wikidata.org/entity/Q5047920,"C/ Santa Teresa, 8",955037263,http://es.wikipedia.org/wiki/Museo_Casa_de_Murillo,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/museo casa murillo.jpg
-5.99116,37.389135,4,Museo del Baile Flamenco,https://wikidata.org/entity/Q2486431,"C/ Manuel Rojas Marcos, 3",954340311,http://www.museoflamenco.com/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de Baile Flamenco.jpg
-5.999737,37.392623,5,Museo de Bellas Artes de Sevilla,https://wikidata.org/entity/Q2163496,"Plaza del Museo, 9",954786502,http://www.juntadeandalucia.es/cultura/museobellasartessevilla,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de Bellas Artes.jpg
-5.996786,37.379431,6,Museo de Carruajes,https://wikidata.org/entity/Q5480977,"Antiguo Instituto Hispano-Cubano - Plaza de Cuba, s/n",954272604,http://www.museodecarruajes.com/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de Carruajes.jpg
-5.996373,37.400236,7,"Museo de la Ciudad, Convento Sta. Clara, Torre D. Fadrique",,"C/ Santa Clara, 40",954379905,http://espaciosantaclara.org/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de la Ciudad Convento de Santa Clara.jpg
-5.992611,37.394413,8,Museo de la Congregacion de Terciarias Franciscanas,,"Hospital del Santisimo Cristo de los Dolores / Plaza del Pozon Santo, 1",954219430, ,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de la Congregacion de Terciarias Franciscanas.jpg
-5.995907,37.384523,9,Museo de la Reales Atarazanas,,"C/ Temprado, 1 esquina C/ Dos de Mayo",954901957,https://es.wikipedia.org/wiki/Atarazanas_Reales_de_Sevilla,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/museo reales atarazanas.jpg
-5.990020771826719,37.396310246251169,10,Museo de Munecas y Juguetes Antiguos,,"C/ Castellar, 43",954387555, ,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de Munecas y Juguetes Antiguos.jpg
-5.986618,37.378248,11,Museo Militar Regional,,"Plaza de Espana, Puerta de Aragon, Parque de Maria Luisa",954938283,http://www.ejercito.mde.es/unidades/Madrid/ihycm/Museos/sevilla.html,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo Historico Militar.jpg
-5.993680699405634,37.392284082963499,12,Museo Palacio de la Condesa de Lebrija,,"C/ Cuna, 8",954227802,http://www.palaciodelebrija.com/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo Palacio de la Condesa de Lebrija.jpg
-5.999038,37.385866,13,Museo Taurino y Pza. Toros Real Maestranza,,"Paseo de Cristobal Colon, 12",954224577,http://www.realmaestranza.com/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/museo taurino y plaza de toros de real maestranza.jpg
-5.989589,37.402728,14,Tesoro de la Macarena,,"C/ Becquer, 1",954901800,http://www.hermandaddelamacarena.es/tesoro-de-la-macarena/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Tesoro de La Macarena.jpg
-5.996442105487888,37.397305140721699,15,Museo Tesoro del Templo Gran Poder,,"Plaza de San Lorenzo, 13",954915686,http://www.gran-poder.es/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo Tesoro del Templo del Gran Poder.jpg
-5.996317,37.382402,16,Seville Maritime Museum,https://wikidata.org/entity/Q32823,"Paseo de Crist/bal ColNn, s/n",954222419,http://www.armada.mde.es/ArmadaPortal/page/Portal/ArmadaEspannola/ciencia_museo/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo Naval Torre del Oro.jpg
-6.004654672374063,37.385541769599378,17,Centro Cer치mica Triana (Sevilla),https://wikidata.org/entity/Q18224363,"C/ San Jorge, 31",955471422,http://www.icas-sevilla.org/visita-el-centro-ceramica-triana/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/museo de la ceramica de triana.jpg
-6.003353801003373,37.385799644004024,18,Museo del castillo de San Jorge,,"Plaza del Altozano, s/n",954332240,http://www.icas-sevilla.org/visita-el-centro-ceramica-triana/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/museo castillo de san jorge.jpg
-5.991908815134942,37.39317959088519,19,Antiquarium (Sevilla),https://wikidata.org/entity/Q5697381,"Plaza de la Encarnacion, s/n",955471580,http://antiquarium.icas-sevilla.org/antiquarium/el-espacio/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Antiquarium.jpg
-5.991061237086621,37.370575010264133,20,Acuario de Sevilla,https://wikidata.org/entity/Q20746709,Avda. Santiago Montoto s/n. Muelle de las Delicias,955441541,http://www.acuariosevilla.es/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Acuario de Sevilla.JPG
-5.99118193649223,37.377440651897643,21,"Science Museum, Seville",https://wikidata.org/entity/Q7433493,"Avenida de Chile, 2",954232349,http://www.casadelaciencia.csic.es/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo Casa de las Ciencias.jpg
-6.009058859577123,37.398499393584565,22,Centro Andaluz de Arte Contemporaneo,,"C/ Americo Vespucio, 2",955037070,http://www.caac.es/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Centro Andaluz de Arte Contemporaneo.jpg
-6.007835772266362,37.394275972059042,23,Pabell칩n de la Navegaci칩n (Sevilla),https://wikidata.org/entity/Q12198135,"Camino de los Descubrimientos, 2",954043111,http://www.pabellondelanavegacion.es/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Pabellon de la navegacion.jpg
